Street_ID,Full_Street_Name,Risk_Score_Below15,Bus_Stops,Local_Business,GoodRoadRating,FairRoadRating,PoorRoadRating,SewerConfl,Engineerin,NationalGr,ProjectInPastFiveYears,Length_0to100,Length_101to200,Length_201to300,Length_301to400,Length_401to500,Length_501OrMore,PrimaryRoad,SecondaryRoad,LocalRoad
12577879,125 N STATE ST,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
12573181,1015 SOUTH AVE,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
13001366,199 N STATE ST,1,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
13002115,1899 S SALINA ST,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
13002114,1599 S SALINA ST,1,0,1,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,1,0,0
12571782,899 VALLEY DR,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13001964,2599 E GENESEE ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12575154,1311 N STATE ST,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12576873,2599 S SALINA ST,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
12577950,399 N STATE ST,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12580560,1202 COURT ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12577398,1199 S STATE ST,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12581230,3299 JAMES ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12578208,1903 E GENESEE ST,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
13002116,4299 S SALINA ST,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12571750,1502 VALLEY DR,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
13002112,5200 S SALINA ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13002117,4399 S SALINA ST,1,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12576750,3703 S SALINA ST,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
